epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2134,3.26441,5.17078,2.90047,0.00227,0.75,0.00839,0.0023,2.12028,4.81829,2.2072,0.00018,0.00018,0.00018
2,109.412,2.49348,4.55775,2.29559,0.0025,0.825,0.08904,0.02848,2.46426,5.30261,2.50726,0.000376238,0.000376238,0.000376238
3,148.735,2.19535,4.0194,1.89263,0.0025,0.825,0.02647,0.00813,2.24839,4.90231,2.21272,0.000568516,0.000568516,0.000568516
4,194.625,1.94093,3.65218,1.62259,0.00265,0.875,0.18069,0.03539,2.32866,5.56916,2.61003,0.000756834,0.000756834,0.000756834
5,235.999,1.82981,3.40858,1.53858,0.16841,0.1,0.07015,0.02194,2.51741,5.78289,2.5021,0.000941192,0.000941192,0.000941192
6,278.828,1.98215,3.40561,1.61103,0.16028,0.15,0.05906,0.02077,2.56747,6.70989,2.84739,0.00112159,0.00112159,0.00112159
7,312.98,1.95099,3.4466,1.58077,0.49023,0.025,0.02922,0.01138,2.5987,6.29962,3.40275,0.00129803,0.00129803,0.00129803
8,358.399,1.9732,3.15937,1.56415,0.17787,0.025,0.00837,0.00152,3.30458,7.29175,5.77441,0.00147051,0.00147051,0.00147051
9,413.202,1.92235,2.97124,1.55633,0.14525,0.05,0.02075,0.00577,2.51369,13.6574,4.18362,0.00163902,0.00163902,0.00163902
10,455.196,1.94667,3.08068,1.51019,0.00012,0.025,6e-05,1e-05,3.70781,82.0415,7.25364,0.00180358,0.00180358,0.00180358
11,500.508,1.8706,2.86429,1.56986,0.00094,0.025,0.0006,0.00018,3.97236,15.9696,13.7247,0.001802,0.001802,0.001802
12,552.345,1.93169,2.88453,1.61025,0.13026,0.15,0.05004,0.02245,2.26965,7.50078,2.81841,0.0017822,0.0017822,0.0017822
13,601.214,1.85201,2.67004,1.48954,0.01793,0.05,0.00338,0.00195,2.23599,122.088,2.4052,0.0017624,0.0017624,0.0017624
14,662.814,1.73447,2.46257,1.47311,0.12883,0.225,0.05393,0.01892,1.85519,15.0824,2.34881,0.0017426,0.0017426,0.0017426
15,706.089,1.85535,2.53243,1.48449,0.2558,0.2,0.11719,0.03943,1.95017,6.49818,2.28725,0.0017228,0.0017228,0.0017228
16,753.094,1.84318,2.43737,1.49118,0.16095,0.25,0.14462,0.06938,1.77894,7.0398,1.84817,0.001703,0.001703,0.001703
17,793.466,1.83865,2.4959,1.45417,0.26836,0.275,0.12052,0.05642,1.69361,3.9636,1.7102,0.0016832,0.0016832,0.0016832
18,837.27,1.80427,2.35884,1.46876,0.44821,0.125,0.0852,0.06625,1.68949,3.34961,1.5638,0.0016634,0.0016634,0.0016634
19,889.444,1.82974,2.25551,1.49784,0.24081,0.18256,0.06833,0.03297,1.94763,3.13692,1.63992,0.0016436,0.0016436,0.0016436
20,933.315,1.86936,2.24022,1.53121,0.2981,0.15,0.08983,0.03138,1.92262,3.28713,1.70315,0.0016238,0.0016238,0.0016238
21,982.943,1.78588,2.22121,1.46272,0.28453,0.225,0.12364,0.06288,1.58886,3.5662,1.47539,0.001604,0.001604,0.001604
22,1032.02,1.63709,2.11678,1.3996,0.23875,0.225,0.12425,0.06706,2.12345,3.9415,2.05995,0.0015842,0.0015842,0.0015842
23,1070.73,1.77159,2.05653,1.45105,0.14401,0.225,0.1081,0.05751,1.90919,4.58941,1.82814,0.0015644,0.0015644,0.0015644
24,1122.2,1.74052,2.02356,1.40914,0.53419,0.17223,0.17231,0.11193,1.41535,4.69617,1.34293,0.0015446,0.0015446,0.0015446
25,1167.96,1.71718,1.95275,1.42142,0.42749,0.25,0.16886,0.09355,1.33923,3.27103,1.26789,0.0015248,0.0015248,0.0015248
26,1216.24,1.6751,1.86164,1.38803,0.268,0.225,0.14187,0.07788,1.457,2.50468,1.30603,0.001505,0.001505,0.001505
27,1261.45,1.59397,1.81918,1.35818,0.40174,0.325,0.19305,0.10306,1.49743,2.15811,1.29318,0.0014852,0.0014852,0.0014852
28,1314.52,1.62844,1.80084,1.32639,0.2921,0.25,0.15844,0.08709,1.32473,1.9115,1.2352,0.0014654,0.0014654,0.0014654
29,1358.67,1.76189,1.89077,1.40221,0.41074,0.225,0.14567,0.08416,1.50397,1.77145,1.40881,0.0014456,0.0014456,0.0014456
30,1405.64,1.60636,1.81491,1.40577,0.43747,0.225,0.16504,0.07211,1.33186,1.71531,1.24927,0.0014258,0.0014258,0.0014258
31,1450.55,1.60465,1.77779,1.37011,0.49535,0.2,0.16844,0.08022,1.39299,1.84157,1.25644,0.001406,0.001406,0.001406
32,1500.17,1.59599,1.7838,1.33533,0.91217,0.15,0.16778,0.09914,1.4372,1.86776,1.22788,0.0013862,0.0013862,0.0013862
33,1552.49,1.56865,1.61642,1.27466,0.54007,0.15,0.15737,0.08647,1.5628,1.76793,1.27875,0.0013664,0.0013664,0.0013664
34,1604.17,1.53208,1.66817,1.2744,0.42148,0.2,0.19395,0.121,1.35567,1.52659,1.15768,0.0013466,0.0013466,0.0013466
35,1653,1.4738,1.64819,1.27877,0.21123,0.175,0.1094,0.06133,1.3045,1.50476,1.14543,0.0013268,0.0013268,0.0013268
36,1701.83,1.53575,1.67307,1.29069,0.32969,0.25,0.20549,0.12946,1.28822,1.61516,1.12215,0.001307,0.001307,0.001307
37,1751.47,1.55526,1.65345,1.28505,0.66345,0.175,0.17193,0.09188,1.38588,1.8041,1.14534,0.0012872,0.0012872,0.0012872
38,1829.62,1.47809,1.60613,1.26929,0.39943,0.25,0.18861,0.10363,1.52736,1.7255,1.18877,0.0012674,0.0012674,0.0012674
39,1877.18,1.58181,1.64821,1.31338,0.4746,0.225,0.19937,0.09074,1.54384,1.83037,1.22731,0.0012476,0.0012476,0.0012476
40,1941.91,1.62453,1.67727,1.30694,0.55167,0.24628,0.24057,0.14495,1.43396,1.74408,1.24661,0.0012278,0.0012278,0.0012278
41,1999.69,1.45661,1.56236,1.25773,0.37514,0.15,0.13006,0.05843,1.47374,1.7236,1.23055,0.001208,0.001208,0.001208
42,2051.69,1.48789,1.50491,1.25306,0.3701,0.25,0.19127,0.1044,1.36256,1.57838,1.16625,0.0011882,0.0011882,0.0011882
43,2107.65,1.45607,1.64768,1.28083,0.51403,0.3,0.24486,0.14345,1.28675,1.51252,1.1633,0.0011684,0.0011684,0.0011684
44,2164.08,1.54944,1.63755,1.25424,0.49657,0.45,0.34947,0.18205,1.35132,1.47949,1.17966,0.0011486,0.0011486,0.0011486
45,2214.73,1.46297,1.53211,1.2373,0.54924,0.275,0.23266,0.12719,1.34177,1.58644,1.17837,0.0011288,0.0011288,0.0011288
46,2263.49,1.46514,1.51206,1.19179,0.65061,0.225,0.24237,0.16236,1.30657,1.41758,1.11172,0.001109,0.001109,0.001109
47,2317.39,1.4428,1.49407,1.22921,0.52799,0.425,0.36116,0.24206,1.27347,1.29117,1.06786,0.0010892,0.0010892,0.0010892
48,2373.42,1.38736,1.48744,1.2329,0.4301,0.3,0.24677,0.15103,1.1975,1.21046,1.05954,0.0010694,0.0010694,0.0010694
49,2436.52,1.45914,1.55125,1.23465,0.62704,0.55,0.55066,0.37662,1.16575,1.23641,1.02811,0.0010496,0.0010496,0.0010496
50,2493.72,1.45255,1.52157,1.24791,0.50531,0.575,0.496,0.32299,1.20008,1.2841,1.04481,0.0010298,0.0010298,0.0010298
51,2556.69,1.38539,1.41465,1.20298,0.66149,0.35,0.33153,0.2091,1.18595,1.39263,1.03305,0.00101,0.00101,0.00101
52,2609.04,1.44441,1.5375,1.23706,0.59941,0.375,0.31654,0.19645,1.26839,1.47768,1.03965,0.0009902,0.0009902,0.0009902
53,2661.07,1.45155,1.45799,1.21125,0.62024,0.475,0.45321,0.27508,1.24527,1.34136,1.06885,0.0009704,0.0009704,0.0009704
54,2722.46,1.45703,1.47492,1.21366,0.56104,0.525,0.47788,0.29584,1.27364,1.23705,1.0959,0.0009506,0.0009506,0.0009506
55,2779.68,1.39012,1.36757,1.20093,0.57501,0.625,0.59637,0.37941,1.20201,1.24616,1.06654,0.0009308,0.0009308,0.0009308
56,2846.75,1.38822,1.40909,1.19379,0.82814,0.60242,0.67888,0.43283,1.17715,1.21506,1.02417,0.000911,0.000911,0.000911
57,2905.58,1.37539,1.3521,1.18902,0.68537,0.7081,0.70775,0.42657,1.14178,1.22732,1.01251,0.0008912,0.0008912,0.0008912
58,2954.92,1.33742,1.34527,1.18616,0.78013,0.88717,0.83332,0.51784,1.10541,1.25469,1.01811,0.0008714,0.0008714,0.0008714
59,3023.06,1.26958,1.29627,1.14041,0.8574,0.75,0.77484,0.48791,1.1349,1.17311,1.0353,0.0008516,0.0008516,0.0008516
60,3074.81,1.30639,1.31176,1.16518,0.82499,0.85,0.88822,0.5358,1.16626,1.15183,1.05102,0.0008318,0.0008318,0.0008318
61,3130.67,1.41872,1.40346,1.19954,0.82181,0.80722,0.86928,0.55523,1.11456,1.11056,1.00023,0.000812,0.000812,0.000812
62,3196.04,1.39253,1.30298,1.16529,0.82475,0.5885,0.60789,0.39261,1.1178,1.14212,0.97925,0.0007922,0.0007922,0.0007922
63,3252.31,1.36709,1.40512,1.17321,0.7597,0.7,0.78098,0.51943,1.13068,1.15246,1.00668,0.0007724,0.0007724,0.0007724
64,3307.96,1.38386,1.32332,1.23897,0.74616,0.675,0.71514,0.46721,1.16475,1.14027,1.03217,0.0007526,0.0007526,0.0007526
65,3360.12,1.31036,1.27074,1.13439,0.84044,0.7,0.76296,0.50606,1.13875,1.11238,1.02423,0.0007328,0.0007328,0.0007328
66,3425.66,1.37623,1.34242,1.17283,0.79321,0.75,0.79534,0.51721,1.17923,1.12714,1.04064,0.000713,0.000713,0.000713
67,3472.03,1.29088,1.25469,1.14578,0.76767,0.3,0.31529,0.21217,1.17036,1.1266,1.02723,0.0006932,0.0006932,0.0006932
68,3524.09,1.27227,1.18449,1.13051,0.74751,0.81428,0.80179,0.52017,1.17936,1.15503,1.05506,0.0006734,0.0006734,0.0006734
69,3602.97,1.29223,1.21931,1.16179,0.81017,0.74695,0.74178,0.46877,1.15953,1.11121,1.02085,0.0006536,0.0006536,0.0006536
70,3669.05,1.41768,1.28052,1.13165,0.73036,0.81273,0.81989,0.53442,1.12135,1.07483,1.02302,0.0006338,0.0006338,0.0006338
71,3725.82,1.25685,1.1774,1.11413,0.7167,0.875,0.82904,0.56212,1.06992,1.05916,1.01444,0.000614,0.000614,0.000614
72,3781.76,1.26978,1.22786,1.12542,0.81467,0.8,0.84308,0.56706,1.08475,1.02722,1.01835,0.0005942,0.0005942,0.0005942
73,3836.2,1.27637,1.27453,1.14516,0.77999,0.825,0.87683,0.58529,1.10412,1.03744,1.02611,0.0005744,0.0005744,0.0005744
74,3892.97,1.30339,1.24663,1.1268,0.84859,0.85,0.91039,0.58521,1.05368,0.98398,1.00481,0.0005546,0.0005546,0.0005546
75,3951.13,1.27182,1.16266,1.11641,0.83836,0.925,0.88895,0.59226,1.04065,1.0046,0.9905,0.0005348,0.0005348,0.0005348
76,4006.14,1.26125,1.2241,1.12016,0.84013,0.91977,0.89613,0.60328,1.01434,1.04529,0.99057,0.000515,0.000515,0.000515
77,4055.01,1.26589,1.19423,1.12343,0.74149,0.9323,0.86747,0.56855,1.00912,1.0427,0.99106,0.0004952,0.0004952,0.0004952
78,4110.33,1.22739,1.12968,1.10421,0.78854,0.825,0.86494,0.56188,1.02729,1.01099,0.96794,0.0004754,0.0004754,0.0004754
79,4174.98,1.27099,1.20961,1.1455,0.81489,0.8,0.88037,0.60373,1.0399,0.96119,0.97139,0.0004556,0.0004556,0.0004556
80,4239.14,1.2856,1.1971,1.12139,0.87661,0.8,0.90474,0.61608,1.08175,0.97679,0.99638,0.0004358,0.0004358,0.0004358
81,4305.49,1.331,1.25218,1.16311,0.8875,0.85,0.89336,0.59019,1.10642,0.98713,1.00867,0.000416,0.000416,0.000416
82,4367.44,1.30179,1.24698,1.14359,0.91719,0.875,0.88732,0.61414,1.05202,1.00277,1.0085,0.0003962,0.0003962,0.0003962
